Country,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Screen dimensions,Commercial films shown?
France,Nîmes,Kinepolis Nimes & IMAX,1.90:1,IMAX Laser XT,1.90:1,,"17.17 m × 9.25 m
56.3 ft × 30.3 ft 159 m
1,710 sq ft",Yes
France,Paris,La Geode,Dome 1.43:1,IMAX Dome with Laser,Dome 1.43:1,,"23.7 m × 17.3 m
77.9 ft × 56.8 ft",
France,Poitiers,Futuroscope - Kinemax IMAX Theatre,1.43:1,IMAX GT Laser,1.43:1,,"27.2 m × 21.4 m
89.2 ft × 70.2 ft 582 m
6,260 sq ft",No
France,Rouen,Gaumont Rouen Grand Quevilly & IMAX,1.90:1,IMAX CoLa,1.90:1,,"20.30 m × 10.45 m
66.6 ft × 34.3 ft 212 m
2,280 sq ft",Yes
France,Saran,Pathe Saran & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.0 m × 12.0 m
72.2 ft × 39.4 ft 264 m
2,840 sq ft",Yes
France,Thillois,Gaumont Parc Millesime & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.0 m × 12.0 m
72.2 ft × 39.4 ft 264 m
2,840 sq ft",Yes
France,Toulouse,Cinema Gaumont Labège & IMAX,1.90:1,IMAX CoLa,1.90:1,,"25.0 m × 15.0 m
82.0 ft × 49.2 ft 375 m
4,040 sq ft",Yes
France,Toulouse,IMAX Cite de l'Espace,1.43:1,IMAX GT Laser,1.43:1,,"21.5 m × 17.5 m
70.5 ft × 57.4 ft 376 m
4,050 sq ft",No
France,Tours,Cine Loire & IMAX,1.90:1,IMAX CoLa,1.90:1,,"18.7 m × 10.5 m
61.5 ft × 34.3 ft",Yes
France,Valenciennes,Pathe Valenciennes & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
France,Vaulx-en-Velin,Cinema Pathe Carre de Soie & IMAX,1.90:1,IMAX CoLa,1.90:1,,"17.90 m × 9.88 m
58.7 ft × 32.4 ft 177 m
1,910 sq ft",Yes
Germany,Berlin,UCI Luxe Mercedes Platz & IMAX,1.90:1,IMAX CoLa,1.90:1,,"22.3 m × 13.5 m
73.2 ft × 44.3 ft",Yes
Germany,Karlsruhe,Filmpalast am ZKM & IMAX,1.43:1,IMAX GT Laser,1.43:1,,"22.3 m × 15.8 m
73.2 ft × 51.8 ft 352 m
3,790 sq ft",Yes
Germany,Leonberg,IMAX Leonberg,1.90:1,IMAX GT Laser,1.90:1,,"38.8 m × 21.0 m
127 ft × 68.9 ft 798 m
8,590 sq ft",Yes
Germany,Sinsheim,"IMAX 3D, Sinsheim Auto & Technik Museum",1.43:1,IMAX GT Laser,1.43:1,,"27.0 m × 22.0 m
88.6 ft × 72.2 ft 594 m
6,390 sq ft",Yes
Italy,Azzano San Paolo,UCI Cinemas Orio & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"29.6 m × 16.5 m
97.0 ft × 54.0 ft",Yes
Latvia,Riga,Apollo Kino & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Luxembourg,Kirchberg,Kinepolis Kirchberg & IMAX,1.90:1,IMAX Laser XT,1.90:1,,"17.9 m × 9.5 m
58.7 ft × 31.2 ft 170 m
1,800 sq ft",Yes
Netherlands,Amsterdam,Pathe Arena & IMAX,1.90:1,IMAX CoLa,1.90:1,,"20.4 m × 10.4 m
67.0 ft × 34.0 ft",Yes
Netherlands,Arnhem,Pathe Arnhem & IMAX,1.90:1,IMAX CoLa,1.90:1,,"21.0 m × 12.0 m
68.9 ft × 39.4 ft",Yes
Netherlands,Eindhoven,Pathe Eindhoven & IMAX,1.90:1,IMAX CoLa,1.90:1,,"18.0 m × 7.0 m
59.0 ft × 23.0 ft",Yes
Netherlands,Rotterdam,Pathe Schouwburgplein & IMAX,1.90:1,IMAX CoLa,1.90:1,,"18.0 m × 9.0 m
59.0 ft × 29.5 ft",Yes
Netherlands,The Hague,Pathe Spuimarkt & IMAX,1.90:1,IMAX CoLa,1.90:1,,"21.0 m × 11.0 m
68.9 ft × 36.1 ft",Yes
Netherlands,Tilburg,Pathe Tilburg & IMAX,1.90:1,IMAX CoLa,1.90:1,,"19.0 m × 10.0 m
62.3 ft × 32.8 ft",Yes
Norway,Oslo,ODEON Oslo & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"24.2 m × 13.7 m
79.3 ft × 44.9 ft",Yes
Poland,Krakow,Cinema City Zakopianka & IMAX,1.90:1,IMAX CoLa,1.90:1,,"24.1 m × 17.4 m
79.0 ft × 57.1 ft",Yes
Portugal,Lisbon,Cinema NOS Colombo & IMAX,1.90:1,IMAX CoLa,1.90:1,,"21.4 m × 12.0 m
70.2 ft × 39.3 ft",Yes
Serbia,Belgrade,CineplexX Galerija Belgrade & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Spain,Madrid,Kinepolis Madrid & IMAX,1.90:1,IMAX Laser XT,1.90:1,,"20.0 m × 8.0 m
65.6 ft × 26.2 ft 160 m
1,700 sq ft",Yes
Sweden,Stockholm,"IMAX Cosmonova, Swedish Museum of Natural History",Dome 1.43:1,IMAX Dome with Laser,Dome 1.43:1,,"23.0 m
75.5 ft",
Sweden,Gothenburg,Filmstaden Bergakungen & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Switzerland,Chur,blue Cinema Chur & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Switzerland,Ebikon-Lucerne,Pathe Mall of Switzerland & IMAX,1.90:1,IMAX GT Laser,1.90:1,,"22.5 m × 12.5 m
73.8 ft × 40.9 ft",Yes
Switzerland,Geneva,Pathe Balexert & IMAX,1.90:1,IMAX Laser XT,1.90:1,,,Yes
Switzerland,Spreitenbach,Pathe Spreitenbach & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
